step,med,lo,hi,lo50,hi50,mea,mlo,mhi,mean_pairs
0.0,366.20416666666665,159.41666666666666,759.7866666666666,235.11666666666667,507.71666666666664,754.3038766788767,534.4478273809524,1019.8119768518518,14.712
12.5,183.63333333333333,28.914166666666663,375.5333333333333,150.84166666666667,236.38333333333333,459.44839743589745,128.66235424901188,781.4128502747251,24.964
15.0,-39.4,-226.70999999999998,16.21,-94.57499999999999,-9.7,-68.7076923076923,-337.15136363636367,157.46235897435903,13.234
20.0,-712.15,-935.3166666666667,-610.6966666666667,-802.4875,-687.2333333333333,-597.4591666666666,-892.598111111111,-345.048867872807,21.104
30.0,8.854166666666668,-68.20374999999999,166.6479166666664,-5.333333333333334,43.416666666666664,-12.617851851851864,-627.0775505050505,357.75071172248795,18.847
40.0,81.39166666666667,-256.45,315.0762499999999,4.058333333333334,157.69166666666666,77.79722222222223,-553.1535,555.0734999999999,8.026
50.0,83.83333333333333,12.333124999999999,223.42437499999997,53.90833333333333,129.22083333333333,294.93895348837214,52.017517276422765,507.0106743909684,37.486
62.5,34.3875,-39.33749999999999,246.51666666666668,7.966666666666667,93.78541666666666,176.16715789473687,-139.974477124183,427.7164166666667,20.897
65.0,91.96666666666667,18.465,226.65,48.46666666666667,140.63333333333333,202.4521739130435,-106.49343137254904,475.5321250000002,18.971
70.0,88.26666666666668,52.26895833333333,141.53395833333332,74.94791666666667,103.74583333333334,219.154400147035,96.26883259846568,342.3848653017241,227.863
72.5,192.2625,17.548750000000002,417.98333333333335,105.68333333333334,268.98333333333335,428.2250597371565,-8.939753846153836,858.7601964285714,27.614
75.0,26.55,-257.48333333333335,219.81041666666667,6.4,86.78541666666668,7.9799873737373765,-538.0657196969696,674.6293706293707,10.697
77.5,34.12083333333333,12.799583333333334,76.09958333333331,27.483333333333334,43.93541666666667,165.08475452196382,-108.14410664265708,445.31490625000004,45.944
80.0,66.17500000000001,16.21291666666667,135.77958333333333,52.108333333333334,89.99374999999999,188.554125,2.104043890944325,369.10700890560696,87.017
82.5,71.73750000000001,16.033333333333335,141.6,46.96666666666667,89.25833333333333,227.39673180076625,13.178285683760683,432.24889728178465,78.447
87.5,92.88333333333333,58.17125000000001,152.09270833333332,76.71666666666667,112.77291666666667,246.88817094106932,28.70208914069361,448.09421792206734,134.188
90.0,97.83333333333333,-0.6,351.43333333333334,46.4625,151.95833333333334,284.05833333333334,-351.25613888888887,716.4907812499999,14.949
92.5,102.45,65.81937500000001,160.6695833333333,88.72708333333334,119.53333333333333,252.59381499507964,95.86900806869494,400.0480227433503,157.562
95.0,35.166666666666664,9.257916666666668,67.48791666666666,25.266666666666666,46.14791666666667,98.34757600287821,-24.771904107541978,214.43539961779103,112.684
100.0,65.50833333333333,44.52479166666667,89.46666666666665,57.19791666666667,73.93333333333334,189.3307492671978,93.30939598504496,280.08735265433234,504.547
